fråga;sakA;sakB;värdeA;värdeB;enhet;differensfråga;källa
Vilket märke har flest anställda?;Arla;Pepsi;21800;319000;anställda;Hur många anställda skiljer det?;Arla ca 21 800 anställda 2024 (arla.com), PepsiCo 319 000 anställda 2024 (PepsiCo 10-K 2024)
Vilket märke är värt mest som varumärke? (2024);Coca-Cola;Nestlé;61,2;20,8;miljarder USD;Hur många miljarder dollar skiljer det?;Coca-Cola varumärkesvärde 61,2 mdr USD 2024 (Brand Finance/Interbrand 2024), Nestlé 20,8 mdr USD 2024 (Brand Finance Food & Drink 2024)
Vilket märke är värt mest som varumärke? (2024);Heineken;Pepsi;9,0;20,2;miljarder USD;Hur många miljarder dollar skiljer det?;Heineken 9,0 mdr USD 2024 (Brand Finance, brandfinance.com beer brands 2024), Pepsi 20,2 mdr USD 2024 (Brand Finance 2024)
Vilket av märkena är äldst?;Nvidia;Adobe;33;44;år;Hur många år skiljer dem åt?;"https://en.wikipedia.org/wiki/Nvidia (1993); https://en.wikipedia.org/wiki/Adobe_Inc. (1982)"
Vilket av märkena är äldst?;Tele2;Axis Communications;33;42;år;Hur många år skiljer dem åt?;"https://www.tele2.com/about/our-history/ (1993); https://en.wikipedia.org/wiki/Axis_Communications (1984)"
Vilket av märkena är äldst?;Truecaller;Adobe;17;44;år;Hur många år skiljer dem åt?;"https://en.wikipedia.org/wiki/Truecaller (2009); https://en.wikipedia.org/wiki/Adobe_Inc. (1982)"
Vilket av märkena är äldst?;Tre;Fortnox;26;25;år;Hur många år skiljer dem åt?;"https://sv.wikipedia.org/wiki/Hi3G_Access (Tre/Hi3G bildat 2000); https://matrixbcg.com/blogs/brief-history/fortnox (Fortnox 2001)"
Vilket av märkena är äldst?;Sony;Klarna;80;21;år;Hur många år skiljer dem åt?;"https://en.wikipedia.org/wiki/Sony (1946); https://en.wikipedia.org/wiki/Klarna (2005)"
Vilket av märkena är äldst?;Telia;Embracer Group;173;15;år;Hur många år skiljer dem åt?;"https://en.wikipedia.org/wiki/Telia_Company (1853); https://en.wikipedia.org/wiki/Embracer_Group (2011)"
Vilket av märkena är äldst?;Disney;Viaplay;103;19;år;Hur många år skiljer dem åt?;"https://en.wikipedia.org/wiki/The_Walt_Disney_Company (1923); https://en.wikipedia.org/wiki/Viaplay_Group (2007 Viasat OnDemand)"
Vilket av märkena är äldst?;Storytel;Tobii;20;25;år;Hur många år skiljer dem åt?;"https://en.wikipedia.org/wiki/Storytel (2006); https://en.wikipedia.org/wiki/Tobii (2001)"
Vilket märke är värt mest som varumärke? (2024);Sony;Netflix;20,8;19,7;miljarder USD;Hur många miljarder dollar skiljer det?;Interbrand Best Global Brands 2024
Vilket märke är värt mest som varumärke? (2024);Samsung;Sony;100,8;20,8;miljarder USD;Hur många miljarder dollar skiljer det?;Interbrand Best Global Brands 2024
Vilket märke är värt mest som varumärke? (2024);Microsoft;Sony;352,5;20,8;miljarder USD;Hur många miljarder dollar skiljer det?;Interbrand Best Global Brands 2024
Vilket märke är värt mest som varumärke? (2024);Nintendo;Adobe;11,5;39,4;miljarder USD;Hur många miljarder dollar skiljer det?;Interbrand Best Global Brands 2024
Vilket märke är värt mest som varumärke? (2024);Netflix;Samsung;19,7;100,8;miljarder USD;Hur många miljarder dollar skiljer det?;Interbrand Best Global Brands 2024
Vilket märke är värt mest som varumärke? (2024);Spotify;Apple;12,4;488,9;miljarder USD;Hur många miljarder dollar skiljer det?;Interbrand Best Global Brands 2024
Vilket märke har störst börsvärde? (2024);Apple;Microsoft;39543;33600;miljarder kr;Hur många miljarder kronor skiljer det?;companiesmarketcap.com (per 2024-12)
Vilket märke har störst börsvärde? (2024);Amazon;Nvidia;24696;34524;miljarder kr;Hur många miljarder kronor skiljer det?;companiesmarketcap.com (per 2024-12)
Vilket märke har störst börsvärde? (2024);Microsoft;Amazon;33600;24696;miljarder kr;Hur många miljarder kronor skiljer det?;companiesmarketcap.com (per 2024-12)
Vilket märke har störst börsvärde? (2024);Netflix;Ericsson;4073;276;miljarder kr;Hur många miljarder kronor skiljer det?;companiesmarketcap.com (per 2024-12)
Vilket märke har störst börsvärde? (2024);Ericsson;Telia;276;115;miljarder kr;Hur många miljarder kronor skiljer det?;companiesmarketcap.com (per 2024-12)
Vilket märke har störst börsvärde? (2024);Ericsson;Spotify;276;968;miljarder kr;Hur många miljarder kronor skiljer det?;companiesmarketcap.com (per 2024-12)
Vilket märke har flest anställda?;Telia;Evolution;16859;21673;anställda;Hur många anställda skiljer det?;"https://stockanalysis.com/quote/sto/EVO/employees/ (Evolution 21673); Telia årsredovisning 2024 (16859)"
Vilket märke har flest anställda?;Spotify;Axis Communications;7261;5238;anställda;Hur många anställda skiljer det?;"Spotify årsredovisning 2024 (7261); https://www.reveliolabs.com/companies/axis-communications/employees/ (Axis 5238)"
Vilket märke har flest anställda?;Klarna;Axis Communications;3422;5238;anställda;Hur många anställda skiljer det?;"Klarna årsredovisning 2024 (3422); Axis Communications 2024 (5238)"
Vilket märke har flest anställda?;Telia;Klarna;16859;3422;anställda;Hur många anställda skiljer det?;"Telia årsredovisning 2024 (16859); Klarna årsredovisning 2024 (3422)"
Vilket av märkena är äldst?;Disney;Truecaller;103;17;år;Hur många år skiljer dem åt?;"https://en.wikipedia.org/wiki/The_Walt_Disney_Company (Disney 1923, 103 år); https://en.wikipedia.org/wiki/Truecaller (Truecaller 2009, 17 år)"
Vilket märke finns i flest länder?;Netflix;Klarna;190;45;länder;Hur många länder skiljer det?;"Netflix (190+ länder, help.netflix.com); Klarna (ca 45 länder, klarna.com)"
Vilket märke har störst omsättning? (2024);Tele2;Sinch;29,6;28,7;miljarder kr;Hur många miljarder kronor skiljer det?;"Tele2 helårsrapport 2024 (29,6 mdr kr, total revenue 29 583 MSEK); Sinch year-end report 2024 (28,7 mdr kr, net sales 28 712 MSEK)"
Vilket märke har störst omsättning? (2024);Evolution;Paradox Interactive;25;2,2;miljarder kr;Hur många miljarder kronor skiljer det?;"Evolution year-end report 2024 (~25 mdr kr); Paradox year-end report 2024 (2,2 mdr kr)"
